FSC-A,SSC-A,CD3,CD4,CD8,CD14,CD19,CD45,CD56,CD20,cell_type,sample_id
38838.97490538261,11948.179920272443,7886.934071554058,7739.953252227958,215.00674559328888,10.0,195.12750682507757,6010.948316287905,1351.7815519177307,1122.685666837037,T_cells_CD4,train_sample_1
22786.404949140517,35162.150437078606,743.9540574030303,201.83501411866487,1539.1192418246083,473.70710623742275,158.49044323997637,5120.680898563533,6662.621105665866,296.3479789044702,NK_cells,train_sample_1
50231.2092262047,14462.652703446089,6527.829497096493,2924.5607935021876,771.4175415465173,812.2198963111356,328.9808426826837,6305.383044600406,1236.84542318161,989.1767467123389,T_cells_CD4,train_sample_3
51287.996968542684,29245.46928763058,14.0,43.378617753360885,1828.3195778874176,433.8458601959418,1299.8319485583906,5878.390364373263,5901.327135395034,101.50922880090259,NK_cells,train_sample_3
55057.68775962887,41977.977850185154,935.2466890899616,24.0,108.92190724270421,6485.882249826768,1272.4315607245019,10294.681241913107,1438.8805446765866,60.65367301460239,Monocytes,train_sample_2
53912.07392011525,31454.077669678107,3554.6082572620703,4747.714436491998,1369.6673679297676,412.28856203842173,1105.249554559742,9595.410860737935,1201.4624002708874,508.714859792291,T_cells_CD4,train_sample_2
27412.76336351463,25689.40029353456,655.9288896821158,1111.4246484252817,1341.0750022766288,685.5904024003511,8854.17426661979,5851.314043588862,259.6431336967566,3512.2407239236695,B_cells,train_sample_1
64101.026733428946,20237.532711505923,9382.104287716278,6864.736092467881,766.066553380288,687.0816462997783,1104.5996540516146,3928.576562727595,844.929944891266,96.75228828006864,T_cells_CD4,train_sample_2
43708.15843002526,18121.698601277043,7377.294951017871,5558.215990847166,697.5010293657294,405.25694910233653,12.0,7355.548715713848,437.5450142216283,990.7120065140475,T_cells_CD4,train_sample_2
55828.52561610542,46716.83539672672,5879.066468954827,694.454359742281,4141.034269729645,1008.7604625324523,633.9120523656309,10375.732782738343,1119.4104073553594,1424.3527394215823,T_cells_CD8,train_sample_1
55384.218178563584,41994.04638295683,1481.1249755569015,678.3996554064071,496.6367032748018,15.451315909493303,265.59429833978083,9872.921229275385,8067.441270026252,1184.3015717710787,NK_cells,train_sample_3
60147.32213942719,31844.940355319395,1375.3586581844293,1984.342807916481,2156.6433078191517,10.0,1058.5527171381116,8430.464013598636,8375.218681868233,10.0,NK_cells,train_sample_1
56061.31949206064,20344.254300982047,9762.870651305477,419.6700327206311,4384.584237112972,510.6673938041058,288.55958649349185,7630.611581488165,2886.48407040463,10.0,T_cells_CD8,train_sample_2
46612.60170293045,32567.106727784125,10824.083443745578,583.0370681589711,4956.415037211193,318.1135677902083,264.9840475808324,5886.770039140925,1411.6862474880338,959.4055667480876,T_cells_CD8,train_sample_3
54654.29881497692,34298.42828448754,306.55739782982005,1870.525408142224,1892.6789005875555,1157.1620054465961,556.7903702243648,9145.756499188394,6072.179816960041,10.0,NK_cells,train_sample_2
34690.7329164229,31182.476826748192,27.167236744678632,76.05185744712846,152.6482527573442,740.9920773175596,450.60518283543087,5701.380960914867,6788.659943066175,486.0763552373101,NK_cells,train_sample_1
59226.70163703926,24365.986105262422,7311.098440327571,295.9202333908359,5926.571474739612,430.09634181581373,427.6971978584473,6311.654006274712,1392.1364060145193,21.14891346479515,T_cells_CD8,train_sample_2
47838.877513350206,55189.574476667905,6257.373535933002,6006.961284272707,1398.4380922040284,10.0,361.41278994945196,6424.865513051922,435.12548050151906,674.4226885600291,T_cells_CD4,train_sample_1
61573.707607945726,42139.14189022381,7881.309472525562,4709.523376539567,1352.5731153586783,493.8020715267371,1298.49783820171,7067.587147785656,434.75475752697594,258.9957726802388,T_cells_CD4,train_sample_1
59990.75703858788,29087.40882588476,4060.026003988212,7885.958638430423,16.0,363.39280991249393,1412.2919328609214,6468.80010386286,241.58901176643448,14.60366176005266,T_cells_CD4,train_sample_1
31305.330568628855,29215.6016580629,4798.909581997788,916.3751174198349,5378.889810109486,10.0,10.0,3907.6611792922427,1340.6672907438174,241.83037518069023,T_cells_CD8,train_sample_3
36818.41897905577,21239.626291261375,12.0,875.5422393440342,983.0232852288557,232.53469290153075,5759.202919143054,8538.000855788121,840.9386010288353,3380.345385601347,B_cells,train_sample_3
38402.157234265906,25790.38546949297,894.1570802039453,46.08211014429805,1500.8208111518452,161.14139296337996,979.1440476056828,5547.182247570686,3887.969333968281,434.7445356327986,NK_cells,train_sample_1
34704.118416513105,26699.32235241476,679.2393475438369,10.0,1176.441185028563,82.62806114932692,7184.082678701399,2685.4945045787426,177.5676210360359,4227.238803808264,B_cells,train_sample_2
85757.04042084243,41491.16158724208,687.6795621144502,283.45837132754224,42.88396169608393,1431.2704326419357,962.7428497962302,8435.124517277753,1303.8345855671278,900.8575675532734,Monocytes,train_sample_3
39690.464446030725,22304.165493762066,5772.365884698394,2857.4972280971765,978.8759995779852,10.0,12.0,6400.263357786597,743.4367009508267,12.0,T_cells_CD4,train_sample_2
54751.0942419112,30209.75979269344,14.0,1161.3195399975193,1027.6701012679039,34.9218545185079,219.22858200586455,4930.316613656681,7486.227145144088,1236.3322723975346,NK_cells,train_sample_1
90356.83809049905,39348.47748332651,14.0,12.0,1190.3442038092023,541.268333585191,711.7306166608403,7156.712805885471,4825.679545754029,10.0,NK_cells,train_sample_1
45339.30670455551,24979.320173882566,280.5665021521888,10.0,607.4637006694905,815.3261248072281,3980.16408499291,6828.529931241902,218.36503412481545,5318.6244716086885,B_cells,train_sample_1
61117.717248199966,16195.006377314106,5421.070547327429,2105.6873681123097,6271.990246302581,909.7639796336633,10.0,5804.952915288461,16.0,893.4439331443822,T_cells_CD8,train_sample_3
56857.51964892502,33732.70851879321,1373.3685253232422,735.3991368456747,398.5334778522184,1375.125942157488,5177.773268973889,5578.734509494132,1345.8527215741558,6335.566246506761,B_cells,train_sample_1
54973.51878434548,21625.052135966984,5473.214735621828,679.4642049072269,5988.319721986862,498.6541110674908,190.5852034924582,6776.691188161846,715.4836624300583,290.06809066733615,T_cells_CD8,train_sample_1
59404.74345076642,48486.00348269168,14.0,1340.0627659185907,193.69073500386367,647.9029491997727,1089.6694149363436,9139.25545302332,3074.2840380477487,445.5374088806435,NK_cells,train_sample_2
42091.96532706653,22684.593988352448,649.9632503208998,2005.5100710969944,420.9823487078969,8528.241242144903,10.0,4774.797165690028,1453.481281125461,10.0,Monocytes,train_sample_2
51191.537934822074,18003.002324157027,12.0,318.9159194834239,10.0,33.633273196511944,8206.636974349662,4725.647866120935,239.58867325823394,4816.409854196192,B_cells,train_sample_1
54147.83075717269,30554.722409061942,4619.824662525899,5912.98191378437,1270.7140118522382,10.0,12.0,6529.38273911963,685.8035893927179,12.0,T_cells_CD4,train_sample_3
42116.243128714246,33530.96479673664,2974.302069885373,14.0,5919.182712050067,502.4458768722534,870.5620679191909,5130.830221532267,212.91047581144883,1562.7964635717924,T_cells_CD8,train_sample_1
26349.632094568722,26176.365697652232,154.402527672661,1390.7831196595037,366.1694414041574,1588.5965666968464,7781.608738525116,5679.22050895607,911.3652449267701,4747.872970950672,B_cells,train_sample_1
80494.97427091557,40341.95385838513,67.2078425752602,289.1649815999974,10.0,4429.470412725357,1133.9339638661713,7173.451133499637,14.0,10.0,Monocytes,train_sample_3
58458.57028365467,33869.87572160639,311.1977993170367,726.4812549658575,1937.5895573731498,614.958865333409,658.77553449546,9438.071809980373,9471.520739553609,570.4374935265303,NK_cells,train_sample_3
45044.61286005769,17208.215715595732,716.7833503078771,437.665009680977,664.3611697540856,511.0245192897172,7333.133837591103,7362.901387421584,715.2641477308644,5384.7284503610435,B_cells,train_sample_1
30552.782533444028,29942.099482634316,4339.523750536999,14.0,3225.0473348235896,539.2672427521813,1938.7201607273473,5842.363442933444,290.65111671087084,778.9179732351663,T_cells_CD8,train_sample_3
30623.95162958962,43271.29884960674,382.0873507550607,1521.7417125552104,205.5215053515492,8234.904989349885,281.4558468752605,2218.161568769792,2206.814096665842,86.94327210382309,Monocytes,train_sample_3
56184.372097762214,33058.136429552316,6237.58253866076,2025.2298595599063,16.0,10.0,1295.4453353010856,8142.178770669291,479.5244438425728,1312.1267955510473,T_cells_CD4,train_sample_1
56528.382375962974,29593.2672752938,12.0,965.9233107814155,752.7296517264662,7940.376200034576,147.0190808570766,6902.369300043433,680.2846837504063,389.1725225052411,Monocytes,train_sample_3
56713.62154781397,42504.15389778509,1445.1972929135484,459.13661086162165,767.5886553385594,1317.7514326182768,569.4890501273171,7925.549047433371,9626.142213230241,125.16608192760836,NK_cells,train_sample_1
36111.89919322951,24016.89327182348,880.44637400956,1621.7975282947348,397.7986994030337,1115.8061465925089,6899.310325917069,7072.843296274696,562.3208542782759,7249.4643767707685,B_cells,train_sample_1
60467.02517382175,38652.65136319458,4762.0073695460305,3907.0761452004826,338.0235407794825,398.86888384811425,390.5329781348255,7550.103243640089,967.2321180892827,12.0,T_cells_CD4,train_sample_3
54298.4603467391,30328.92024088595,4432.713359262148,5760.29199059376,1005.9482345188158,957.9791620039967,934.806361613665,11163.898922459433,10.0,1172.4315986663419,T_cells_CD4,train_sample_2
65138.509074295784,26023.762428797374,1246.9481748720195,2007.5047500291485,849.6008649935252,5226.395097404127,10.0,11821.69281808836,1789.9824345725367,1031.7099187084864,Monocytes,train_sample_1
46889.043298562756,13592.307941374693,10264.223130940696,664.943134746854,3186.969985375098,165.6364518381394,415.2692084033939,5412.886277993559,783.2893268707061,90.30769718046494,T_cells_CD8,train_sample_1
62366.21355184993,28991.98843452751,1198.6677560897106,1640.175169421128,359.48078183357836,38.50413258769629,654.8163861944776,8053.926815975876,5583.304253471837,599.4069841263711,NK_cells,train_sample_3
66026.75105819653,30872.397234726195,5481.735820512895,2197.1774015145984,299.5689842587773,502.83892200552094,640.6959910329501,5598.941203009521,543.8038093410293,983.700783297725,T_cells_CD4,train_sample_3
58976.17475147824,26853.854884667504,498.95286300697325,481.0916374942291,453.5177767874906,1181.8958133831004,6758.358083571964,8000.153985739675,1442.0646785145473,7666.370094785414,B_cells,train_sample_1
35663.121167215475,32108.298293306652,7281.119092973522,5574.075460131742,311.7282391813772,133.01348035298614,1615.706065329949,5861.698717762008,519.7466613447447,359.02726196765536,T_cells_CD4,train_sample_1
65161.197272232195,17188.335293320975,4575.381457517265,388.2848748185015,4835.39274784286,10.0,10.0,7929.657553416174,677.5278240564814,10.0,T_cells_CD8,train_sample_2
